,year_infested,diss_date,date,site,stem_id,stem_diam_bottom_in_mm,main_stem_length_in_cm,total_meja,meja_per_100_cm,infested,diam_top_in_mm,tip_of_stem_broken,side_branches_in_cm,number_empty_chambers,total_number_adults,stem_diam_bottom_in_cm,diam_top_in_cm
0,2012,2012-12-07,2012-12-03,West,1,7.8,64.0,21,32.8,1,2.6,1,,4,17,0.78,0.26
1,2012,2012-12-08,2012-12-03,West,2,8.2,57.5,46,80.0,1,2.2,1,,2,44,0.82,0.22
2,2012,2012-12-10,2012-12-03,West,3,6.6,33.0,32,97.0,1,2.6,1,,0,32,0.66,0.26
3,2012,2012-12-10,2012-12-03,West,4,6.4,59.0,30,50.8,1,2.6,1,,0,30,0.64,0.26
4,2012,2012-12-10,2012-12-03,West,5,6.5,45.0,31,68.9,1,3.0,1,,0,31,0.65,0.3
5,2012,2012-12-10,2012-12-03,West,6,7.0,61.0,21,34.4,1,2.1,1,,0,21,0.7,0.21
6,2012,2012-12-10,2012-12-03,West,7,6.8,43.0,15,34.9,1,1.8,1,,1,14,0.68,0.18
7,2012,2012-12-10,2012-12-03,West,8,6.8,46.0,41,89.1,1,1.5,1,,4,37,0.68,0.15
8,2012,2012-12-10,2012-12-03,West,9,7.4,43.0,29,67.4,1,4.3,1,,0,29,0.74,0.43
9,2012,2012-12-10,2012-12-03,West,10,3.9,50.0,1,2.0,1,1.1,0,,0,1,0.39,0.11
10,2012,2012-12-11,2012-12-03,West,11,5.0,48.0,23,47.9,1,2.7,1,,0,23,0.5,0.27
11,2012,2012-12-11,2012-12-03,West,12,5.1,45.0,16,35.6,1,2.5,1,,0,16,0.51,0.25
12,2012,2012-12-11,2012-12-03,West,13,8.5,49.0,28,57.1,1,3.8,1,,0,28,0.85,0.38
13,2012,2012-12-11,2012-12-03,West,14,4.8,31.0,26,83.9,1,2.8,1,,0,22,0.48,0.28
14,2012,2012-12-12,2012-12-03,West,15,9.3,42.0,8,19.0,1,2.8,1,,0,8,0.93,0.28
15,2012,2012-12-12,2012-12-03,West,16,4.8,41.0,28,68.3,1,1.6,1,,0,28,0.48,0.16
16,2012,2012-12-12,2012-12-03,West,17,6.6,36.0,3,8.3,1,2.2,1,,0,3,0.66,0.22
17,2012,2012-12-12,2012-12-03,West,18,6.9,41.0,53,129.3,1,2.8,1,,0,53,0.69,0.28
18,2012,2012-12-12,2012-12-03,West,19,7.5,47.0,1,2.1,1,2.4,1,,1,0,0.75,0.24
19,2012,2012-12-12,2012-12-03,West,20,5.3,35.0,8,22.9,1,1.9,1,,1,7,0.53,0.19
20,2012,2012-12-12,2012-12-03,West,21,5.0,33.0,21,63.6,1,1.6,0,,4,17,0.5,0.16
21,2012,2012-12-12,2012-12-03,West,22,4.5,42.0,10,23.8,1,1.1,0,,0,10,0.45,0.11
22,2012,2012-12-12,2012-12-03,West,23,3.4,27.0,12,44.4,1,1.2,0,,0,12,0.34,0.12
23,2012,2012-12-12,2012-12-03,West,24,4.3,31.0,21,67.7,1,1.6,0,,0,21,0.43,0.16
24,2012,2012-12-12,2012-12-03,West,25,6.5,37.0,6,16.2,1,1.6,0,,0,6,0.65,0.16
25,2012,2012-12-13,2012-12-03,West,26,4.8,41.0,10,24.4,1,1.3,0,,0,10,0.48,0.13
26,2012,2012-12-13,2012-12-03,West,27,6.1,43.0,18,41.9,1,3.6,1,,0,18,0.61,0.36
27,2012,2012-12-13,2012-12-03,West,28,5.2,40.0,20,50.0,1,2.6,1,,0,18,0.52,0.26
28,2012,2012-12-13,2012-12-03,West,29,6.1,34.0,17,50.0,1,2.0,1,,0,17,0.61,0.2
29,2012,2012-12-14,2012-12-03,West,30,6.4,27.5,22,80.0,1,3.5,1,,0,22,0.64,0.35
30,2012,2012-12-14,2012-12-03,West,31,5.7,40.0,13,32.5,1,3.1,1,,0,13,0.57,0.31
31,2012,2012-12-14,2012-12-03,West,32,4.2,34.0,17,50.0,1,2.2,1,,1,16,0.42,0.22
32,2012,2012-12-14,2012-12-03,West,33,6.1,35.0,11,31.4,1,1.6,1,,1,10,0.61,0.16
33,2012,2012-12-14,2012-12-03,West,34,4.5,43.0,9,20.9,1,1.4,1,,6,3,0.45,0.14
34,2012,2012-12-14,2012-12-03,West,35,4.3,36.0,6,16.7,1,1.1,1,,0,0,0.43,0.11
35,2012,2012-12-14,2012-12-03,West,36,6.2,34.0,9,26.5,1,1.2,1,,2,7,0.62,0.12
36,2012,2012-12-20,2012-12-03,West,37,3.6,27.0,7,25.9,1,1.5,0,,2,5,0.36,0.15
37,2012,2012-12-20,2012-12-03,West,38,4.7,38.0,14,36.8,1,2.1,1,,4,9,0.47,0.21
38,2012,2012-12-20,2012-12-03,West,39,4.6,31.0,9,29.0,1,1.2,0,,1,7,0.46,0.12
