,main_stem_length_in_cm,total_meja,infested,tip_of_stem_broken,side_branches_in_cm,total_number_adults,stem_diam_bottom_in_cm,diam_top_in_cm
0,64.0,21,1,1,,17,0.78,0.26
1,57.5,46,1,1,,44,0.82,0.22
2,33.0,32,1,1,,32,0.66,0.26
3,59.0,30,1,1,,30,0.64,0.26
4,45.0,31,1,1,,31,0.65,0.3
5,61.0,21,1,1,,21,0.7,0.21
6,43.0,15,1,1,,14,0.68,0.18
7,46.0,41,1,1,,37,0.68,0.15
8,43.0,29,1,1,,29,0.74,0.43
9,50.0,1,1,0,,1,0.39,0.11
10,48.0,23,1,1,,23,0.5,0.27
11,45.0,16,1,1,,16,0.51,0.25
12,49.0,28,1,1,,28,0.85,0.38
13,31.0,26,1,1,,22,0.48,0.28
14,42.0,8,1,1,,8,0.93,0.28
15,41.0,28,1,1,,28,0.48,0.16
16,36.0,3,1,1,,3,0.66,0.22
17,41.0,53,1,1,,53,0.69,0.28
18,47.0,1,1,1,,0,0.75,0.24
19,35.0,8,1,1,,7,0.53,0.19
20,33.0,21,1,0,,17,0.5,0.16
21,42.0,10,1,0,,10,0.45,0.11
22,27.0,12,1,0,,12,0.34,0.12
23,31.0,21,1,0,,21,0.43,0.16
24,37.0,6,1,0,,6,0.65,0.16
25,41.0,10,1,0,,10,0.48,0.13
26,43.0,18,1,1,,18,0.61,0.36
27,40.0,20,1,1,,18,0.52,0.26
28,34.0,17,1,1,,17,0.61,0.2
29,27.5,22,1,1,,22,0.64,0.35
30,40.0,13,1,1,,13,0.57,0.31
31,34.0,17,1,1,,16,0.42,0.22
32,35.0,11,1,1,,10,0.61,0.16
33,43.0,9,1,1,,3,0.45,0.14
34,36.0,6,1,1,,0,0.43,0.11
35,34.0,9,1,1,,7,0.62,0.12
36,27.0,7,1,0,,5,0.36,0.15
37,38.0,14,1,1,,9,0.47,0.21
38,31.0,9,1,0,,7,0.46,0.12
39,38.0,27,1,1,,21,0.53,0.21
40,41.0,11,1,1,,9,0.32,0.16
41,30.0,10,1,1,,8,0.4,0.17
42,22.0,23,1,1,,23,0.51,0.23
43,33.0,7,1,1,,0,0.55,0.12
44,25.0,5,1,0,,1,0.3,0.2
45,36.0,15,1,1,,7,0.46,0.12
46,44.0,14,1,1,,9,0.81,0.18
47,21.0,28,1,1,,26,0.35,0.16
48,36.0,6,0,1,,5,0.55,0.19
49,36.0,21,1,0,,15,0.41,0.2
50,85.0,0,0,0,,0,0.48,0.05
51,68.0,0,0,0,,0,0.34,0.04
52,87.0,0,0,1,,0,0.93,0.29
53,81.0,0,0,0,,0,0.41,0.06
54,93.0,0,0,1,,0,0.76,0.12
55,73.0,0,0,0,,0,0.54,0.03
56,103.0,0,0,0,,0,0.53,0.02
57,65.0,0,0,1,,0,0.53,0.09
58,101.0,0,0,0,,0,0.4,0.04
59,85.0,0,0,0,,0,0.73,0.05
60,46.0,0,0,1,,0,0.37,0.07
61,65.0,0,0,0,,0,0.42,0.07
62,72.0,0,0,0,,0,0.36,0.02
63,66.0,0,0,0,,0,0.38,0.04
64,76.0,4,1,0,,1,0.45,0.06
65,61.0,0,0,0,,0,0.54,0.16
66,61.0,0,0,1,,0,0.38,0.16
67,57.0,0,0,1,,0,0.55,0.15
68,58.0,0,0,1,,0,0.72,0.16
69,85.0,0,0,1,,0,0.81,0.21
70,75.0,0,0,0,,0,0.32,0.05
71,51.0,0,0,0,,0,0.39,0.05
72,66.0,2,1,1,,1,0.41,0.1
73,83.0,0,0,1,,0,0.51,0.11
74,95.0,0,0,0,,0,0.61,0.03
75,70.0,0,0,1,,0,0.57,0.06
76,49.0,1,1,1,,1,0.4,0.15
