,stem_diam_bottom_in_cm,diam_top_in_cm,meja_per_100_cm,total_meja,main_stem_length_in_cm
1020,0.94,0.3,11.7,9,77.0
63,0.38,0.04,0.0,0,66.0
285,0.51,0.22000000000000003,17.9,7,39.0
261,0.46,0.18,35.0,18,51.5
1003,0.43,0.22999999999999998,45.0,18,40.0
249,0.26,0.13,15.4,4,26.0
150,0.66,0.06,0.0,0,107.0
21,0.45,0.11000000000000001,23.8,10,42.0
1023,0.5,0.33999999999999997,9.1,4,44.0
205,0.62,0.11000000000000001,15.7,9,57.5
49,0.41,0.2,58.3,21,36.0
197,0.32,0.08,0.0,0,57.0
1025,0.55,0.42000000000000004,20.0,8,40.0
232,0.51,0.21000000000000002,47.6,20,42.0
277,0.42,0.16,18.2,8,44.0
192,0.42,0.13999999999999999,0.0,0,71.0
106,0.33,0.06,10.5,4,38.0
299,0.42,0.3,48.9,11,22.5
22,0.34,0.12,44.4,12,27.0
264,0.44,0.11000000000000001,53.4,31,58.0
226,0.49,0.2,63.4,26,41.0
187,0.49,0.1,2.9,2,68.0
215,0.36,0.19,48.1,13,27.0
979,1.08,0.48,0.0,0,71.0
66,0.38,0.16,0.0,0,61.0
159,0.37,0.13999999999999999,3.9,2,51.0
12,0.85,0.38,57.1,28,49.0
101,0.62,0.06999999999999999,0.0,0,94.0
287,0.36,0.18,30.5,9,29.5
216,0.48,0.11000000000000001,49.2,15,30.5
963,0.79,0.21000000000000002,0.0,0,80.0
290,0.38,0.11000000000000001,75.9,22,29.0
17,0.69,0.27999999999999997,129.3,53,41.0
1004,0.59,0.15,35.8,19,53.0
134,0.49,0.2,20.0,5,25.0
155,0.68,0.05,0.0,0,92.0
239,0.37,0.05,12.5,4,32.0
1058,0.57,0.33999999999999997,2.5,1,40.0
103,0.52,0.2,32.0,16,50.0
224,0.64,0.15,41.7,20,48.0
1010,0.64,0.76,26.0,20,77.0
288,0.54,0.16,44.7,17,38.0
132,0.72,0.08,2.4,1,42.0
116,0.33,0.08,5.7,3,53.0
250,0.61,0.13,27.2,17,62.5
973,0.8,0.35,1.4,1,72.0
120,0.31,0.06999999999999999,4.7,2,43.0
153,0.63,0.15,0.0,0,86.0
230,0.39,0.26,44.4,14,31.5
81,0.43,0.05,5.8,3,52.0
1,0.82,0.22000000000000003,80.0,46,57.5
140,0.34,0.03,1.8,1,56.0
8,0.74,0.43,67.4,29,43.0
270,0.42,0.2,21.4,9,42.0
1056,0.76,0.65,0.0,0,48.0
126,0.41,0.06999999999999999,4.3,2,47.0
136,0.46,0.18,23.3,10,43.0
276,0.61,0.26,103.0,34,33.0
259,0.35,0.11000000000000001,17.2,5,29.0
133,0.74,0.19,2.9,1,35.0
33,0.45,0.13999999999999999,20.9,9,43.0
1040,0.69,0.32999999999999996,17.7,11,62.0
34,0.43,0.11000000000000001,16.7,6,36.0
176,0.44,0.06999999999999999,1.4,1,72.0
97,0.27,0.04,0.0,0,63.0
85,0.86,0.22999999999999998,0.0,0,96.0
220,0.45,0.16,60.5,26,43.0
260,0.62,0.2,40.0,22,55.0
1038,0.56,0.26,11.9,8,67.0
1053,0.62,0.5700000000000001,3.6,2,55.0
191,0.38,0.13,4.7,3,64.0
172,0.62,0.09,0.0,0,58.0
108,0.25,0.06,2.2,1,45.0
46,0.81,0.18,31.8,14,44.0
295,0.38,0.2,45.2,14,31.0
273,0.52,0.15,48.9,22,45.0
73,0.51,0.11000000000000001,0.0,0,83.0
137,0.62,0.11000000000000001,0.0,0,71.0
1043,0.46,0.33999999999999997,0.0,0,50.0
171,0.42,0.08,6.5,4,62.0
1062,0.53,0.21000000000000002,2.0,1,51.0
29,0.64,0.35,80.0,22,27.5
265,0.47,0.1,44.2,23,52.0
253,0.4,0.16,40.4,19,47.0
967,1.08,0.58,1.6,1,63.0
1057,0.6,0.53,24.4,10,41.0
27,0.52,0.26,50.0,20,40.0
236,0.51,0.09,72.0,36,50.0
180,0.37,0.08,0.0,0,58.0
156,0.41,0.04,6.3,4,64.0
246,0.33,0.06999999999999999,51.4,19,37.0
138,0.8,0.3,4.0,3,75.0
269,0.37,0.05,19.1,9,47.0
182,0.83,0.09,1.3,1,77.0
251,0.51,0.1,42.1,20,47.5
281,0.41,0.09,10.7,3,28.0
35,0.62,0.12,26.5,9,34.0
235,0.45,0.1,33.8,13,38.5
221,0.57,0.18,45.5,20,44.0
238,0.61,0.25,46.9,23,49.0
237,0.37,0.13,34.5,10,29.0
44,0.3,0.2,20.0,5,25.0
200,0.5,0.26,53.3,32,60.0
129,0.58,0.09,1.6,1,62.0
93,0.54,0.11000000000000001,0.0,0,73.0
111,0.62,0.12,6.0,4,67.0
166,0.72,0.05,0.0,0,100.0
255,0.65,0.11000000000000001,66.7,32,48.0
229,0.32,0.12,50.0,12,24.0
18,0.75,0.24,2.1,1,47.0
262,0.44,0.18,45.1,23,51.0
79,0.44,0.05,0.0,0,90.0
207,0.34,0.16999999999999998,20.6,7,34.0
209,0.67,0.16999999999999998,26.5,11,41.5
71,0.39,0.05,0.0,0,51.0
231,0.43,0.1,36.9,12,32.5
986,0.45,0.27,21.9,7,32.0
1047,0.75,0.62,13.2,5,38.0
201,0.76,0.27,25.8,16,62.0
160,0.63,0.1,0.0,0,76.0
256,0.64,0.16999999999999998,50.0,27,54.0
161,0.38,0.05,11.5,9,78.0
83,0.56,0.08,0.0,0,85.0
190,0.39,0.11000000000000001,0.0,0,65.0
1059,0.67,0.41,13.8,8,58.0
118,0.31,0.13,0.0,0,45.0
1052,0.65,0.54,0.0,0,54.0
242,0.33,0.18,41.4,12,29.0
1037,0.49,0.27999999999999997,11.1,6,54.0
110,0.67,0.05,0.0,0,90.0
149,0.31,0.16,3.2,1,31.0
157,0.33,0.03,0.0,0,46.0
152,0.68,0.06,0.0,0,110.0
16,0.66,0.22000000000000003,8.3,3,36.0
1050,0.53,0.49000000000000005,9.1,2,22.0
75,0.57,0.06,0.0,0,70.0
109,0.88,0.26,0.0,0,82.0
964,0.92,0.24,0.8,1,122.0
206,0.33,0.12,26.7,8,30.0
985,0.65,0.36,11.1,6,54.0
139,0.65,0.05,10.4,5,48.0
1055,0.61,0.47000000000000003,2.0,1,49.0
4,0.65,0.3,68.9,31,45.0
96,0.5,0.05,0.0,0,63.0
14,0.93,0.27999999999999997,19.0,8,42.0
61,0.42,0.06999999999999999,0.0,0,65.0
67,0.55,0.15,0.0,0,57.0
294,0.33,0.12,40.0,12,30.0
195,0.5,0.18,3.8,2,53.0
154,0.28,0.02,4.5,3,67.0
1018,0.76,0.45,4.4,2,45.0
284,0.47,0.13999999999999999,44.2,19,43.0
247,0.24,0.18,36.4,8,22.0
1035,0.64,0.38,8.2,6,73.0
40,0.32,0.16,26.8,11,41.0
112,0.33,0.09,0.0,0,51.0
13,0.48,0.27999999999999997,83.9,26,31.0
107,0.74,0.13999999999999999,0.0,0,69.0
227,0.44,0.22999999999999998,28.1,9,32.0
282,0.69,0.13,67.6,23,34.0
3,0.64,0.26,50.8,30,59.0
254,0.53,0.08,29.6,16,54.0
125,0.33,0.06999999999999999,29.4,10,34.0
24,0.65,0.16,16.2,6,37.0
30,0.57,0.31,32.5,13,40.0
77,0.39,0.02,0.0,0,55.0
233,0.82,0.2,30.8,12,39.0
189,0.88,0.18,0.0,0,96.0
185,0.38,0.09,0.0,0,53.0
1032,0.7,0.41,13.0,6,46.0
1054,0.55,0.43,13.5,5,37.0
1041,0.75,0.16999999999999998,1.5,1,67.0
19,0.53,0.19,22.9,8,35.0
993,0.93,0.25,0.0,0,98.0
997,0.86,0.3,1.3,1,79.0
183,0.81,0.12,5.5,5,91.0
1014,0.58,0.32,16.3,8,49.0
80,0.48,0.1,0.0,0,61.0
51,0.34,0.04,0.0,0,68.0
2,0.66,0.26,97.0,32,33.0
11,0.51,0.25,35.6,16,45.0
104,0.3,0.09,5.1,2,39.0
275,0.44,0.27,50.0,17,34.0
86,0.5,0.06,6.0,4,67.0
36,0.36,0.15,25.9,7,27.0
1044,0.87,0.18,16.1,20,124.0
58,0.4,0.04,0.0,0,101.0
41,0.4,0.16999999999999998,33.3,10,30.0
50,0.48,0.05,0.0,0,85.0
210,0.48,0.2,22.6,7,31.0
980,1.09,0.27999999999999997,0.0,0,92.0
1002,0.41,0.38,12.5,1,8.0
974,0.55,0.12,22.5,18,80.0
123,0.29,0.06999999999999999,7.5,3,40.0
223,0.4,0.11000000000000001,15.6,5,32.0
62,0.36,0.02,0.0,0,72.0
279,0.43,0.13,10.5,4,38.0
130,0.38,0.06,0.0,0,54.0
188,0.53,0.12,1.5,1,67.0
23,0.43,0.16,67.7,21,31.0
43,0.55,0.12,21.2,7,33.0
0,0.78,0.26,32.8,21,64.0
202,0.59,0.13999999999999999,107.2,67,62.5
