,stem_diam_bottom_in_cm,diam_top_in_cm,side_branches_in_cm,total_meja,tip_of_stem_broken,infested,total_number_adults,main_stem_length_in_cm
270,0.42,0.2,60.23,9,1,1,9,42.0
936,0.48,0.18,60.23,14,0,1,0,37.0
764,0.42,0.18,60.23,1,0,1,0,53.0
630,0.61,0.18,55.0,0,1,0,0,51.0
826,0.55,0.18,60.23,10,0,1,2,52.0
746,0.64,0.18,60.23,0,0,0,0,60.0
940,0.31,0.18,60.23,8,0,1,1,26.0
342,0.36,0.18,60.23,0,0,0,0,19.0
943,0.77,0.18,60.23,1,0,1,1,96.0
315,0.26,0.18,60.23,0,0,0,0,15.5
876,0.62,0.18,60.23,26,0,1,13,41.0
409,0.28,0.18,60.23,0,0,0,0,16.5
424,0.88,0.18,49.0,0,1,0,0,70.0
969,0.55,0.18,60.23,5,0,1,2,84.0
190,0.39,0.11,60.23,0,0,0,0,65.0
627,0.26,0.18,60.23,0,1,0,0,39.0
549,0.31,0.18,60.23,0,1,0,0,23.0
863,0.74,0.18,60.23,18,0,1,2,67.0
145,0.31,0.08,60.23,7,1,1,7,32.0
272,0.31,0.1,60.23,17,0,1,17,42.0
496,0.4,0.18,60.23,0,1,0,0,31.0
380,0.31,0.18,60.23,0,0,0,0,16.5
693,0.56,0.18,60.23,0,0,0,0,40.0
452,0.57,0.18,60.23,0,1,0,0,44.0
769,0.52,0.18,60.23,7,0,1,0,67.0
641,0.67,0.18,127.0,0,1,0,0,27.0
590,0.55,0.18,60.23,0,1,0,0,46.0
632,0.53,0.18,22.0,0,1,0,0,35.0
144,0.42,0.04,60.23,5,0,1,2,38.0
832,0.7,0.18,60.23,39,0,1,2,72.0
790,0.62,0.18,60.23,0,0,0,0,79.0
471,0.63,0.18,60.23,0,1,0,0,35.0
366,0.23,0.18,60.23,0,0,0,0,8.0
687,0.33,0.18,60.23,0,0,0,0,33.0
215,0.36,0.19,60.23,13,1,1,11,27.0
364,0.19,0.18,60.23,0,0,0,0,10.5
294,0.33,0.12,60.23,12,1,1,12,30.0
776,0.65,0.18,60.23,7,0,1,0,58.0
358,0.16,0.18,60.23,0,0,0,0,12.0
878,0.61,0.18,60.23,17,0,1,1,65.0
230,0.39,0.26,60.23,14,1,1,10,31.5
715,0.67,0.18,60.23,0,0,0,0,78.0
834,0.7,0.18,60.23,12,0,1,0,75.0
406,0.18,0.18,60.23,0,0,0,0,9.0
154,0.28,0.02,60.23,3,0,1,3,67.0
408,0.21,0.18,60.23,0,0,0,0,9.0
736,0.52,0.18,60.23,0,0,0,0,77.0
150,0.66,0.06,60.23,0,0,0,0,107.0
511,0.7,0.18,60.23,0,1,0,0,49.0
900,0.48,0.18,60.23,11,0,1,2,43.0
362,0.26,0.18,60.23,0,0,0,0,22.0
962,0.62,0.18,60.23,3,0,1,2,97.0
113,0.47,0.07,60.23,9,0,1,8,61.0
666,0.57,0.18,60.23,0,0,0,0,105.0
37,0.47,0.21,60.23,14,1,1,9,38.0
977,0.94,0.18,60.23,15,0,1,0,87.0
158,0.35,0.09,60.23,0,1,0,0,64.0
40,0.32,0.16,60.23,11,1,1,9,41.0
384,0.19,0.18,60.23,0,0,0,0,13.0
351,0.16,0.18,60.23,0,0,0,0,12.5
299,0.42,0.3,60.23,11,1,1,9,22.5
825,0.62,0.18,60.23,4,0,1,0,57.0
583,0.77,0.18,44.0,0,1,0,0,58.0
236,0.51,0.09,60.23,36,1,1,5,50.0
474,0.45,0.18,60.23,0,1,0,0,28.0
505,0.34,0.18,60.23,0,1,0,0,30.0
656,0.4,0.18,60.23,0,1,0,0,37.0
465,0.58,0.18,37.0,0,1,0,0,34.0
495,0.3,0.18,60.23,0,1,0,0,38.0
935,0.55,0.18,60.23,25,0,1,9,45.0
1005,0.91,0.18,60.23,2,0,1,0,121.0
679,0.39,0.18,60.23,0,0,0,0,84.0
62,0.36,0.02,60.23,0,0,0,0,72.0
79,0.44,0.05,60.23,0,0,0,0,90.0
193,0.33,0.09,60.23,0,0,0,0,51.0
568,0.44,0.18,60.23,0,1,0,0,32.0
181,0.52,0.12,60.23,1,0,1,1,51.0
548,0.48,0.18,60.23,0,1,0,0,62.0
801,0.85,0.18,60.23,0,0,0,0,94.0
9,0.39,0.11,60.23,1,0,1,1,50.0
451,0.63,0.18,60.23,0,1,0,0,61.0
535,0.39,0.18,60.23,0,1,0,0,31.0
752,0.56,0.18,60.23,6,0,1,0,66.0
356,0.26,0.18,60.23,0,0,0,0,13.5
262,0.44,0.18,60.23,23,1,1,23,51.0
6,0.68,0.18,60.23,15,1,1,14,43.0
266,0.4,0.21,60.23,22,1,1,20,41.0
1008,0.66,0.18,60.23,17,0,1,0,74.0
38,0.46,0.12,60.23,9,0,1,7,31.0
1030,0.49,0.38,60.23,8,1,1,0,38.0
786,0.47,0.18,60.23,0,0,0,0,79.0
312,0.25,0.18,60.23,0,0,0,0,16.5
271,0.56,0.26,60.23,13,1,1,13,46.0
140,0.34,0.03,60.23,1,0,1,1,56.0
482,0.45,0.18,60.23,0,1,0,0,38.0
194,0.72,0.21,60.23,1,1,1,1,51.0
682,0.47,0.18,60.23,0,0,0,0,65.0
644,0.55,0.18,60.23,0,1,0,0,64.0
995,0.51,0.18,60.23,2,0,1,0,78.0
484,0.58,0.18,60.23,0,1,0,0,84.0
862,0.75,0.18,60.23,14,0,1,2,61.0
453,0.37,0.18,60.23,0,1,0,0,60.0
50,0.48,0.05,60.23,0,0,0,0,85.0
162,0.34,0.11,60.23,3,1,1,3,67.0
724,0.57,0.18,60.23,0,0,0,0,89.0
674,0.77,0.18,60.23,0,0,0,0,79.0
1006,0.38,0.12,60.23,20,1,1,1,44.0
742,0.37,0.18,60.23,3,0,1,0,54.0
310,0.17,0.18,60.23,0,0,0,0,14.5
435,0.73,0.18,60.23,0,1,0,0,58.0
