,stem_diam_bottom_in_cm,diam_top_in_cm,total_meja,tip_of_stem_broken,infested,total_number_adults,main_stem_length_in_cm
1020,0.94,0.3,9,1,1,0,77.0
63,0.38,0.04,0,0,0,0,66.0
285,0.51,0.22,7,0,1,6,39.0
261,0.46,0.18,18,0,1,18,51.5
1003,0.43,0.23,18,1,1,1,40.0
249,0.26,0.13,4,1,1,4,26.0
150,0.66,0.06,0,0,0,0,107.0
21,0.45,0.11,10,0,1,10,42.0
1023,0.5,0.34,4,1,1,0,44.0
205,0.62,0.11,9,0,1,9,57.5
49,0.41,0.2,21,0,1,15,36.0
197,0.32,0.08,0,1,0,0,57.0
1025,0.55,0.42,8,1,1,3,40.0
232,0.51,0.21,20,1,1,12,42.0
277,0.42,0.16,8,1,1,8,44.0
192,0.42,0.14,0,1,0,0,71.0
106,0.33,0.06,4,0,1,4,38.0
299,0.42,0.3,11,1,1,9,22.5
22,0.34,0.12,12,0,1,12,27.0
264,0.44,0.11,31,1,1,30,58.0
226,0.49,0.2,26,1,1,17,41.0
187,0.49,0.1,2,1,1,2,68.0
215,0.36,0.19,13,1,1,11,27.0
979,1.08,0.48,0,1,0,0,71.0
66,0.38,0.16,0,1,0,0,61.0
159,0.37,0.14,2,1,1,2,51.0
12,0.85,0.38,28,1,1,28,49.0
101,0.62,0.07,0,0,0,0,94.0
287,0.36,0.18,9,0,1,9,29.5
216,0.48,0.11,15,1,1,11,30.5
963,0.79,0.21,0,1,0,0,80.0
290,0.38,0.11,22,0,1,22,29.0
17,0.69,0.28,53,1,1,53,41.0
1004,0.59,0.15,19,1,1,2,53.0
134,0.49,0.2,5,1,1,5,25.0
155,0.68,0.05,0,0,0,0,92.0
239,0.37,0.05,4,0,1,0,32.0
1058,0.57,0.34,1,1,1,0,40.0
103,0.52,0.2,16,1,1,16,50.0
224,0.64,0.15,20,0,1,16,48.0
1010,0.64,0.76,20,1,1,0,77.0
288,0.54,0.16,17,0,1,13,38.0
132,0.72,0.08,1,0,1,1,42.0
116,0.33,0.08,3,1,1,3,53.0
250,0.61,0.13,17,1,1,10,62.5
973,0.8,0.35,1,1,1,1,72.0
120,0.31,0.07,2,1,1,2,43.0
153,0.63,0.15,0,1,0,0,86.0
230,0.39,0.26,14,1,1,10,31.5
81,0.43,0.05,3,0,1,3,52.0
1,0.82,0.22,46,1,1,44,57.5
140,0.34,0.03,1,0,1,1,56.0
8,0.74,0.43,29,1,1,29,43.0
270,0.42,0.2,9,1,1,9,42.0
1056,0.76,0.65,0,1,0,0,48.0
126,0.41,0.07,2,1,1,2,47.0
136,0.46,0.18,10,1,1,10,43.0
276,0.61,0.26,34,1,1,34,33.0
259,0.35,0.11,5,0,1,5,29.0
133,0.74,0.19,1,1,1,0,35.0
33,0.45,0.14,9,1,1,3,43.0
1040,0.69,0.33,11,1,1,0,62.0
34,0.43,0.11,6,1,1,0,36.0
176,0.44,0.07,1,0,1,1,72.0
97,0.27,0.04,0,0,0,0,63.0
85,0.86,0.23,0,1,0,0,96.0
220,0.45,0.16,26,1,1,25,43.0
260,0.62,0.2,22,1,1,22,55.0
1038,0.56,0.26,8,1,1,0,67.0
1053,0.62,0.57,2,1,1,1,55.0
191,0.38,0.13,3,1,1,3,64.0
172,0.62,0.09,0,1,0,0,58.0
108,0.25,0.06,1,0,1,1,45.0
46,0.81,0.18,14,1,1,9,44.0
295,0.38,0.2,14,1,1,14,31.0
273,0.52,0.15,22,1,1,21,45.0
73,0.51,0.11,0,1,0,0,83.0
137,0.62,0.11,0,1,0,0,71.0
1043,0.46,0.34,0,1,0,0,50.0
171,0.42,0.08,4,0,1,4,62.0
1062,0.53,0.21,1,1,1,1,51.0
29,0.64,0.35,22,1,1,22,27.5
265,0.47,0.1,23,1,1,23,52.0
253,0.4,0.16,19,0,1,19,47.0
967,1.08,0.58,1,1,1,0,63.0
1057,0.6,0.53,10,1,1,2,41.0
27,0.52,0.26,20,1,1,18,40.0
236,0.51,0.09,36,1,1,5,50.0
180,0.37,0.08,0,1,0,0,58.0
156,0.41,0.04,4,1,1,4,64.0
246,0.33,0.07,19,0,1,19,37.0
138,0.8,0.3,3,1,1,2,75.0
269,0.37,0.05,9,0,1,6,47.0
182,0.83,0.09,1,1,1,1,77.0
251,0.51,0.1,20,0,1,20,47.5
281,0.41,0.09,3,0,1,0,28.0
35,0.62,0.12,9,1,1,7,34.0
235,0.45,0.1,13,0,1,13,38.5
221,0.57,0.18,20,1,1,19,44.0
238,0.61,0.25,23,1,1,9,49.0
237,0.37,0.13,10,0,1,6,29.0
44,0.3,0.2,5,0,1,1,25.0
200,0.5,0.26,32,1,1,31,60.0
129,0.58,0.09,1,1,1,0,62.0
93,0.54,0.11,0,1,0,0,73.0
111,0.62,0.12,4,1,1,4,67.0
166,0.72,0.05,0,0,0,0,100.0
255,0.65,0.11,32,0,1,30,48.0
229,0.32,0.12,12,1,1,12,24.0
18,0.75,0.24,1,1,1,0,47.0
262,0.44,0.18,23,1,1,23,51.0
79,0.44,0.05,0,0,0,0,90.0
207,0.34,0.17,7,1,1,7,34.0
209,0.67,0.17,11,0,1,11,41.5
71,0.39,0.05,0,0,0,0,51.0
231,0.43,0.1,12,0,1,11,32.5
986,0.45,0.27,7,1,1,1,32.0
1047,0.75,0.62,5,1,1,2,38.0
201,0.76,0.27,16,1,1,8,62.0
160,0.63,0.1,0,1,0,0,76.0
256,0.64,0.17,27,1,1,26,54.0
161,0.38,0.05,9,0,1,9,78.0
83,0.56,0.08,0,0,0,0,85.0
190,0.39,0.11,0,0,0,0,65.0
1059,0.67,0.41,8,1,1,1,58.0
118,0.31,0.13,0,1,0,0,45.0
1052,0.65,0.54,0,1,0,0,54.0
242,0.33,0.18,12,1,1,12,29.0
1037,0.49,0.28,6,1,1,1,54.0
110,0.67,0.05,0,0,0,0,90.0
149,0.31,0.16,1,1,1,1,31.0
157,0.33,0.03,0,0,0,0,46.0
152,0.68,0.06,0,0,0,0,110.0
16,0.66,0.22,3,1,1,3,36.0
1050,0.53,0.49,2,1,1,0,22.0
75,0.57,0.06,0,1,0,0,70.0
109,0.88,0.26,0,1,0,0,82.0
964,0.92,0.24,1,1,1,0,122.0
206,0.33,0.12,8,0,1,8,30.0
985,0.65,0.36,6,1,1,1,54.0
139,0.65,0.05,5,0,1,4,48.0
1055,0.61,0.47,1,1,1,0,49.0
4,0.65,0.3,31,1,1,31,45.0
96,0.5,0.05,0,0,0,0,63.0
14,0.93,0.28,8,1,1,8,42.0
61,0.42,0.07,0,0,0,0,65.0
67,0.55,0.15,0,1,0,0,57.0
294,0.33,0.12,12,1,1,12,30.0
195,0.5,0.18,2,1,1,2,53.0
154,0.28,0.02,3,0,1,3,67.0
1018,0.76,0.45,2,1,1,0,45.0
284,0.47,0.14,19,0,1,18,43.0
247,0.24,0.18,8,1,1,2,22.0
1035,0.64,0.38,6,1,1,0,73.0
40,0.32,0.16,11,1,1,9,41.0
112,0.33,0.09,0,0,0,0,51.0
13,0.48,0.28,26,1,1,22,31.0
