,main_stem_length_in_cm,stem_diam_bottom_in_cm,diam_top_in_cm,infested,tip_of_stem_broken
1020,77.0,0.94,0.3,1,1
63,66.0,0.38,0.04,0,0
285,39.0,0.51,0.22000000000000003,1,0
261,51.5,0.46,0.18,1,0
1003,40.0,0.43,0.22999999999999998,1,1
249,26.0,0.26,0.13,1,1
150,107.0,0.66,0.06,0,0
21,42.0,0.45,0.11000000000000001,1,0
1023,44.0,0.5,0.33999999999999997,1,1
205,57.5,0.62,0.11000000000000001,1,0
49,36.0,0.41,0.2,1,0
197,57.0,0.32,0.08,0,1
1025,40.0,0.55,0.42000000000000004,1,1
232,42.0,0.51,0.21000000000000002,1,1
277,44.0,0.42,0.16,1,1
192,71.0,0.42,0.13999999999999999,0,1
106,38.0,0.33,0.06,1,0
299,22.5,0.42,0.3,1,1
22,27.0,0.34,0.12,1,0
264,58.0,0.44,0.11000000000000001,1,1
226,41.0,0.49,0.2,1,1
187,68.0,0.49,0.1,1,1
215,27.0,0.36,0.19,1,1
979,71.0,1.08,0.48,0,1
66,61.0,0.38,0.16,0,1
159,51.0,0.37,0.13999999999999999,1,1
12,49.0,0.85,0.38,1,1
101,94.0,0.62,0.06999999999999999,0,0
287,29.5,0.36,0.18,1,0
216,30.5,0.48,0.11000000000000001,1,1
963,80.0,0.79,0.21000000000000002,0,1
290,29.0,0.38,0.11000000000000001,1,0
17,41.0,0.69,0.27999999999999997,1,1
1004,53.0,0.59,0.15,1,1
134,25.0,0.49,0.2,1,1
155,92.0,0.68,0.05,0,0
239,32.0,0.37,0.05,1,0
1058,40.0,0.57,0.33999999999999997,1,1
103,50.0,0.52,0.2,1,1
224,48.0,0.64,0.15,1,0
1010,77.0,0.64,0.76,1,1
288,38.0,0.54,0.16,1,0
132,42.0,0.72,0.08,1,0
116,53.0,0.33,0.08,1,1
250,62.5,0.61,0.13,1,1
973,72.0,0.8,0.35,1,1
120,43.0,0.31,0.06999999999999999,1,1
153,86.0,0.63,0.15,0,1
230,31.5,0.39,0.26,1,1
81,52.0,0.43,0.05,1,0
1,57.5,0.82,0.22000000000000003,1,1
140,56.0,0.34,0.03,1,0
8,43.0,0.74,0.43,1,1
270,42.0,0.42,0.2,1,1
1056,48.0,0.76,0.65,0,1
126,47.0,0.41,0.06999999999999999,1,1
136,43.0,0.46,0.18,1,1
276,33.0,0.61,0.26,1,1
259,29.0,0.35,0.11000000000000001,1,0
133,35.0,0.74,0.19,1,1
33,43.0,0.45,0.13999999999999999,1,1
1040,62.0,0.69,0.32999999999999996,1,1
34,36.0,0.43,0.11000000000000001,1,1
176,72.0,0.44,0.06999999999999999,1,0
97,63.0,0.27,0.04,0,0
85,96.0,0.86,0.22999999999999998,0,1
220,43.0,0.45,0.16,1,1
260,55.0,0.62,0.2,1,1
1038,67.0,0.56,0.26,1,1
1053,55.0,0.62,0.5700000000000001,1,1
191,64.0,0.38,0.13,1,1
172,58.0,0.62,0.09,0,1
108,45.0,0.25,0.06,1,0
46,44.0,0.81,0.18,1,1
295,31.0,0.38,0.2,1,1
273,45.0,0.52,0.15,1,1
73,83.0,0.51,0.11000000000000001,0,1
137,71.0,0.62,0.11000000000000001,0,1
1043,50.0,0.46,0.33999999999999997,0,1
171,62.0,0.42,0.08,1,0
1062,51.0,0.53,0.21000000000000002,1,1
29,27.5,0.64,0.35,1,1
265,52.0,0.47,0.1,1,1
253,47.0,0.4,0.16,1,0
967,63.0,1.08,0.58,1,1
1057,41.0,0.6,0.53,1,1
27,40.0,0.52,0.26,1,1
236,50.0,0.51,0.09,1,1
180,58.0,0.37,0.08,0,1
156,64.0,0.41,0.04,1,1
246,37.0,0.33,0.06999999999999999,1,0
138,75.0,0.8,0.3,1,1
269,47.0,0.37,0.05,1,0
182,77.0,0.83,0.09,1,1
251,47.5,0.51,0.1,1,0
281,28.0,0.41,0.09,1,0
35,34.0,0.62,0.12,1,1
235,38.5,0.45,0.1,1,0
221,44.0,0.57,0.18,1,1
