,main_stem_length_in_cm,stem_diam_bottom_in_cm,diam_top_in_cm,tip_of_stem_broken,infested
270,42.0,0.42,0.2,1,1
936,37.0,0.48,0.18,0,1
764,53.0,0.42,0.18,0,1
630,51.0,0.61,0.18,1,0
826,52.0,0.55,0.18,0,1
746,60.0,0.64,0.18,0,0
940,26.0,0.31,0.18,0,1
342,19.0,0.36,0.18,0,0
943,96.0,0.77,0.18,0,1
315,15.5,0.26,0.18,0,0
876,41.0,0.62,0.18,0,1
409,16.5,0.28,0.18,0,0
424,70.0,0.88,0.18,1,0
969,84.0,0.55,0.18,0,1
190,65.0,0.39,0.11,0,0
627,39.0,0.26,0.18,1,0
549,23.0,0.31,0.18,1,0
863,67.0,0.74,0.18,0,1
145,32.0,0.31,0.08,1,1
272,42.0,0.31,0.1,0,1
496,31.0,0.4,0.18,1,0
380,16.5,0.31,0.18,0,0
693,40.0,0.56,0.18,0,0
452,44.0,0.57,0.18,1,0
769,67.0,0.52,0.18,0,1
641,27.0,0.67,0.18,1,0
590,46.0,0.55,0.18,1,0
632,35.0,0.53,0.18,1,0
144,38.0,0.42,0.04,0,1
832,72.0,0.7,0.18,0,1
790,79.0,0.62,0.18,0,0
471,35.0,0.63,0.18,1,0
366,8.0,0.23,0.18,0,0
687,33.0,0.33,0.18,0,0
215,27.0,0.36,0.19,1,1
364,10.5,0.19,0.18,0,0
294,30.0,0.33,0.12,1,1
776,58.0,0.65,0.18,0,1
358,12.0,0.16,0.18,0,0
878,65.0,0.61,0.18,0,1
230,31.5,0.39,0.26,1,1
715,78.0,0.67,0.18,0,0
834,75.0,0.7,0.18,0,1
406,9.0,0.18,0.18,0,0
154,67.0,0.28,0.02,0,1
408,9.0,0.21,0.18,0,0
736,77.0,0.52,0.18,0,0
150,107.0,0.66,0.06,0,0
511,49.0,0.7,0.18,1,0
900,43.0,0.48,0.18,0,1
362,22.0,0.26,0.18,0,0
962,97.0,0.62,0.18,0,1
113,61.0,0.47,0.07,0,1
666,105.0,0.57,0.18,0,0
37,38.0,0.47,0.21,1,1
977,87.0,0.94,0.18,0,1
158,64.0,0.35,0.09,1,0
40,41.0,0.32,0.16,1,1
384,13.0,0.19,0.18,0,0
351,12.5,0.16,0.18,0,0
299,22.5,0.42,0.3,1,1
825,57.0,0.62,0.18,0,1
583,58.0,0.77,0.18,1,0
236,50.0,0.51,0.09,1,1
474,28.0,0.45,0.18,1,0
505,30.0,0.34,0.18,1,0
656,37.0,0.4,0.18,1,0
465,34.0,0.58,0.18,1,0
495,38.0,0.3,0.18,1,0
935,45.0,0.55,0.18,0,1
1005,121.0,0.91,0.18,0,1
679,84.0,0.39,0.18,0,0
62,72.0,0.36,0.02,0,0
79,90.0,0.44,0.05,0,0
193,51.0,0.33,0.09,0,0
568,32.0,0.44,0.18,1,0
181,51.0,0.52,0.12,0,1
548,62.0,0.48,0.18,1,0
801,94.0,0.85,0.18,0,0
9,50.0,0.39,0.11,0,1
451,61.0,0.63,0.18,1,0
535,31.0,0.39,0.18,1,0
752,66.0,0.56,0.18,0,1
356,13.5,0.26,0.18,0,0
262,51.0,0.44,0.18,1,1
6,43.0,0.68,0.18,1,1
266,41.0,0.4,0.21,1,1
1008,74.0,0.66,0.18,0,1
38,31.0,0.46,0.12,0,1
1030,38.0,0.49,0.38,1,1
786,79.0,0.47,0.18,0,0
312,16.5,0.25,0.18,0,0
271,46.0,0.56,0.26,1,1
140,56.0,0.34,0.03,0,1
482,38.0,0.45,0.18,1,0
194,51.0,0.72,0.21,1,1
682,65.0,0.47,0.18,0,0
644,64.0,0.55,0.18,1,0
995,78.0,0.51,0.18,0,1
484,84.0,0.58,0.18,1,0
862,61.0,0.75,0.18,0,1
453,60.0,0.37,0.18,1,0
50,85.0,0.48,0.05,0,0
162,67.0,0.34,0.11,1,1
724,89.0,0.57,0.18,0,0
674,79.0,0.77,0.18,0,0
1006,44.0,0.38,0.12,1,1
742,54.0,0.37,0.18,0,1
310,14.5,0.17,0.18,0,0
435,58.0,0.73,0.18,1,0
483,77.0,0.6,0.18,1,0
172,58.0,0.62,0.09,1,0
891,61.0,0.56,0.18,0,1
382,8.5,0.16,0.18,0,0
885,27.0,0.44,0.18,0,1
478,17.0,0.35,0.18,1,0
1022,39.0,0.43,0.18,0,0
830,61.0,0.52,0.18,0,1
39,38.0,0.53,0.21,1,1
609,61.0,0.47,0.18,1,0
1020,77.0,0.94,0.3,1,1
156,64.0,0.41,0.04,1,1
222,36.0,0.6,0.36,1,1
698,62.0,0.48,0.18,0,1
210,31.0,0.48,0.2,1,1
306,24.0,0.23,0.18,0,0
809,75.0,0.78,0.18,0,1
1042,62.0,0.58,0.35,1,1
758,54.0,0.49,0.18,0,0
167,74.0,0.42,0.18,0,0
720,86.0,0.69,0.18,0,0
622,34.0,0.47,0.18,1,0
399,12.0,0.18,0.18,0,0
10,48.0,0.5,0.27,1,1
105,88.0,0.47,0.09,0,0
68,58.0,0.72,0.16,1,0
