,total_meja,diam_top_in_cm,stem_diam_bottom_in_cm,tip_of_stem_broken,main_stem_length_in_cm
270,9,0.2,0.42,1,42.0
936,14,0.18,0.48,0,37.0
764,1,0.18,0.42,0,53.0
630,0,0.18,0.61,1,51.0
826,10,0.18,0.55,0,52.0
746,0,0.18,0.64,0,60.0
940,8,0.18,0.31,0,26.0
342,0,0.18,0.36,0,19.0
943,1,0.18,0.77,0,96.0
315,0,0.18,0.26,0,15.5
876,26,0.18,0.62,0,41.0
409,0,0.18,0.28,0,16.5
424,0,0.18,0.88,1,70.0
969,5,0.18,0.55,0,84.0
190,0,0.11,0.39,0,65.0
627,0,0.18,0.26,1,39.0
549,0,0.18,0.31,1,23.0
863,18,0.18,0.74,0,67.0
145,7,0.08,0.31,1,32.0
272,17,0.1,0.31,0,42.0
496,0,0.18,0.4,1,31.0
380,0,0.18,0.31,0,16.5
693,0,0.18,0.56,0,40.0
452,0,0.18,0.57,1,44.0
769,7,0.18,0.52,0,67.0
641,0,0.18,0.67,1,27.0
590,0,0.18,0.55,1,46.0
632,0,0.18,0.53,1,35.0
144,5,0.04,0.42,0,38.0
832,39,0.18,0.7,0,72.0
790,0,0.18,0.62,0,79.0
471,0,0.18,0.63,1,35.0
366,0,0.18,0.23,0,8.0
687,0,0.18,0.33,0,33.0
215,13,0.19,0.36,1,27.0
364,0,0.18,0.19,0,10.5
294,12,0.12,0.33,1,30.0
776,7,0.18,0.65,0,58.0
358,0,0.18,0.16,0,12.0
878,17,0.18,0.61,0,65.0
230,14,0.26,0.39,1,31.5
715,0,0.18,0.67,0,78.0
834,12,0.18,0.7,0,75.0
406,0,0.18,0.18,0,9.0
154,3,0.02,0.28,0,67.0
408,0,0.18,0.21,0,9.0
736,0,0.18,0.52,0,77.0
150,0,0.06,0.66,0,107.0
511,0,0.18,0.7,1,49.0
900,11,0.18,0.48,0,43.0
362,0,0.18,0.26,0,22.0
962,3,0.18,0.62,0,97.0
113,9,0.07,0.47,0,61.0
666,0,0.18,0.57,0,105.0
37,14,0.21,0.47,1,38.0
977,15,0.18,0.94,0,87.0
158,0,0.09,0.35,1,64.0
40,11,0.16,0.32,1,41.0
384,0,0.18,0.19,0,13.0
351,0,0.18,0.16,0,12.5
299,11,0.3,0.42,1,22.5
825,4,0.18,0.62,0,57.0
583,0,0.18,0.77,1,58.0
236,36,0.09,0.51,1,50.0
474,0,0.18,0.45,1,28.0
505,0,0.18,0.34,1,30.0
656,0,0.18,0.4,1,37.0
465,0,0.18,0.58,1,34.0
495,0,0.18,0.3,1,38.0
935,25,0.18,0.55,0,45.0
1005,2,0.18,0.91,0,121.0
679,0,0.18,0.39,0,84.0
62,0,0.02,0.36,0,72.0
79,0,0.05,0.44,0,90.0
193,0,0.09,0.33,0,51.0
568,0,0.18,0.44,1,32.0
181,1,0.12,0.52,0,51.0
548,0,0.18,0.48,1,62.0
801,0,0.18,0.85,0,94.0
9,1,0.11,0.39,0,50.0
451,0,0.18,0.63,1,61.0
535,0,0.18,0.39,1,31.0
752,6,0.18,0.56,0,66.0
356,0,0.18,0.26,0,13.5
262,23,0.18,0.44,1,51.0
6,15,0.18,0.68,1,43.0
266,22,0.21,0.4,1,41.0
1008,17,0.18,0.66,0,74.0
38,9,0.12,0.46,0,31.0
1030,8,0.38,0.49,1,38.0
786,0,0.18,0.47,0,79.0
312,0,0.18,0.25,0,16.5
271,13,0.26,0.56,1,46.0
140,1,0.03,0.34,0,56.0
482,0,0.18,0.45,1,38.0
194,1,0.21,0.72,1,51.0
682,0,0.18,0.47,0,65.0
644,0,0.18,0.55,1,64.0
995,2,0.18,0.51,0,78.0
484,0,0.18,0.58,1,84.0
862,14,0.18,0.75,0,61.0
453,0,0.18,0.37,1,60.0
50,0,0.05,0.48,0,85.0
162,3,0.11,0.34,1,67.0
724,0,0.18,0.57,0,89.0
674,0,0.18,0.77,0,79.0
1006,20,0.12,0.38,1,44.0
742,3,0.18,0.37,0,54.0
310,0,0.18,0.17,0,14.5
435,0,0.18,0.73,1,58.0
483,0,0.18,0.6,1,77.0
172,0,0.09,0.62,1,58.0
891,10,0.18,0.56,0,61.0
382,0,0.18,0.16,0,8.5
885,7,0.18,0.44,0,27.0
478,0,0.18,0.35,1,17.0
1022,0,0.18,0.43,0,39.0
830,3,0.18,0.52,0,61.0
39,27,0.21,0.53,1,38.0
609,0,0.18,0.47,1,61.0
1020,9,0.3,0.94,1,77.0
156,4,0.04,0.41,1,64.0
222,29,0.36,0.6,1,36.0
698,4,0.18,0.48,0,62.0
210,7,0.2,0.48,1,31.0
306,0,0.18,0.23,0,24.0
809,7,0.18,0.78,0,75.0
1042,1,0.35,0.58,1,62.0
758,0,0.18,0.49,0,54.0
167,0,0.18,0.42,0,74.0
720,0,0.18,0.69,0,86.0
622,0,0.18,0.47,1,34.0
399,0,0.18,0.18,0,12.0
10,23,0.27,0.5,1,48.0
105,0,0.09,0.47,0,88.0
68,0,0.16,0.72,1,58.0
90,0,0.09,0.48,1,83.0
467,0,0.18,0.49,1,49.0
427,0,0.18,0.53,1,57.0
506,0,0.18,0.48,1,49.0
258,5,0.12,0.48,0,50.0
614,0,0.18,0.4,1,24.0
650,0,0.18,0.3,1,36.0
304,0,0.18,0.19,0,19.0
1027,18,0.22,0.51,1,48.0
564,0,0.18,0.66,1,52.0
1026,0,0.25,0.35,1,41.0
1012,0,0.18,0.68,0,82.0
208,13,0.18,0.35,1,40.5
20,21,0.16,0.5,0,33.0
494,0,0.18,1.08,1,10.0
989,2,0.18,0.68,0,97.0
629,0,0.18,0.52,1,50.0
836,22,0.18,0.55,0,60.0
285,7,0.22,0.51,0,39.0
1011,34,0.18,0.51,0,66.0
71,0,0.05,0.39,0,51.0
49,21,0.2,0.41,0,36.0
179,0,0.04,0.8,0,98.0
854,0,0.18,0.57,0,65.0
378,0,0.18,0.21,0,13.0
116,3,0.08,0.33,1,53.0
293,20,0.15,0.38,0,31.5
76,1,0.15,0.4,1,49.0
48,6,0.19,0.55,1,36.0
1025,8,0.42,0.55,1,40.0
263,48,0.11,0.5,1,59.0
877,33,0.18,0.77,0,132.0
757,3,0.18,0.38,0,46.0
800,0,0.18,0.51,0,62.0
443,0,0.18,0.32,1,41.0
332,0,0.18,0.24,0,30.0
64,4,0.06,0.45,0,76.0
866,39,0.18,0.47,0,47.0
52,0,0.29,0.93,1,87.0
363,0,0.18,0.28,0,14.5
945,2,0.18,1.12,1,88.0
124,4,0.08,0.42,0,72.0
707,0,0.18,0.59,0,51.0
477,0,0.18,0.49,1,32.0
669,0,0.18,0.65,0,77.0
288,17,0.16,0.54,0,38.0
794,0,0.18,0.77,0,57.0
302,0,0.18,0.29,0,19.5
118,0,0.13,0.31,1,45.0
12,28,0.38,0.85,1,49.0
157,0,0.03,0.33,0,46.0
337,0,0.18,0.15,0,11.0
127,7,0.06,0.5,0,57.0
46,14,0.18,0.81,1,44.0
235,13,0.1,0.45,0,38.5
585,0,0.18,0.48,1,49.0
241,11,0.27,0.52,1,32.0
638,0,0.18,0.74,1,30.0
402,0,0.18,0.22,0,10.5
759,9,0.18,0.7,0,60.0
416,0,0.18,0.24,0,5.0
177,6,0.14,0.5,1,69.0
923,1,0.18,0.37,0,34.0
721,0,0.18,0.63,0,100.0
325,0,0.18,0.21,0,15.0
982,37,0.18,0.52,0,67.0
1052,0,0.54,0.65,1,54.0
350,0,0.18,0.18,0,6.5
422,0,0.18,0.67,1,56.0
17,53,0.28,0.69,1,41.0
1014,8,0.32,0.58,1,49.0
186,0,0.11,0.49,0,54.0
700,0,0.18,0.71,0,98.0
338,0,0.18,0.21,0,11.0
206,8,0.12,0.33,0,30.0
501,0,0.18,0.3,1,27.0
